Adaugare card,14:48:38 24/05/2021
Adaugare card,14:48:38 24/05/2021
Adaugare card,14:48:38 24/05/2021
Adaugare card,14:48:38 24/05/2021
Adaugare card,14:48:38 24/05/2021
Adaugare card,14:48:38 24/05/2021
Alimentare,14:48:40 24/05/2021
Retragere,14:48:40 24/05/2021
Colectarea comisionului de administrare al unui cont curent,14:48:40 24/05/2021
Colectarea comisionului de administrare al unei cutii de valori,14:48:40 24/05/2021
Alimentare,14:48:40 24/05/2021
Colectarea ratei pentru un credit cu dobanda fixa,14:48:40 24/05/2021
Alimentare,14:48:40 24/05/2021
Colectarea ratei pentru un credit cu dobanda variabila,14:48:40 24/05/2021
Colectarea ratei pentru un credit cu dobanda variabila,14:48:40 24/05/2021
Adaugare in cutia de valori,14:48:40 24/05/2021
Retragere din cutia de valori,14:48:40 24/05/2021
Transfer,14:48:40 24/05/2021
Schimb Valutar,14:48:40 24/05/2021
